date,ad_group,campaign,type,avg_pos,quality_score,cost,impressions,clicks,signups,purchases
1/1/16,Make:Nissan|Model:Qashqai|Type:New,xNew-Make:Nissan|Model:Qashqai|Match:BMM,NEW,2.1,8,7.45,96,6,1,0
1/1/16,Make:Nissan|Model:Qashqai|Type:Finance,xNew-Make:Nissan|Model:Qashqai|Match:BMM,FINANCE,4.2,8,0.41,23,1,1,0
1/1/16,Make:Nissan|Model:Qashqai|Type:Offers,xNew-Make:Nissan|Model:Qashqai|Match:BMM,OFFERS,2.2,9,0.48,7,1,0,0
1/1/16,Make:Nissan|Model:Qashqai|Type:Head_Terms,xNew-Make:Nissan|Model:Qashqai|Match:BMM,HEAD-TERMS,2.6,7,46.41,2025,61,12,0
1/1/16,Make:Nissan|Model:Qashqai|Type:Buy,xNew-Make:Nissan|Model:Qashqai|Match:BMM,BUY,2,10,2.75,43,2,1,0
1/1/16,Make:Nissan|Model:Qashqai|Type:Deals,xNew-Make:Nissan|Model:Qashqai|Match:BMM,DEALS,2.5,9,3.07,55,4,0,0
1/1/16,Make:Nissan|Model:Qashqai|Type:PCP,xNew-Make:Nissan|Model:Qashqai|Match:BMM,PCP,2,8,6.64,35,3,0,0
1/1/16,Make:Nissan|Model:Qashqai|Type:Deals,xNew-Make:Nissan|Model:Qashqai|Match:Exact,DEALS,2.03456,9,13.54,81,9,0,0
1/1/16,Make:Nissan|Model:Qashqai|Type:Finance,xNew-Make:Nissan|Model:Qashqai|Match:Exact,FINANCE,3.6,9,0.35,9,1,0,0
1/1/16,Make:Nissan|Model:Qashqai|Type:Cheap,xNew-Make:Nissan|Model:Qashqai|Match:Exact,CHEAP,3.9,8,0.57,7,1,0,0
1/1/16,Make:Nissan|Model:Qashqai|Type:2016,xNew-Make:Nissan|Model:Qashqai|Match:Exact,2016,1.61176,6,2.86,34,2,1,0
1/1/16,Make:Nissan|Model:Qashqai|Type:New,xNew-Make:Nissan|Model:Qashqai|Match:Exact,NEW,2.035,7.66666,3.96,40,3,1,0
1/1/16,Make:Nissan|Model:Qashqai|Type:For_Sale,xNew-Make:Nissan|Model:Qashqai|Match:Exact,FOR-SALE,6.24166,8,0.73,36,2,0,0
1/1/16,Make:Nissan|Model:Qashqai|Type:PCP,xNew-Make:Nissan|Model:Qashqai|Match:Exact,PCP,2.3,8,2.05,11,2,0,0
1/1/16,Make:Nissan|Model:Qashqai|Type:Price,xNew-Make:Nissan|Model:Qashqai|Match:Exact,PRICE,2.4,7,5.87,77,8,0,0
1/1/16,Make:Nissan|Model:Qashqai|Type:Review,xNew-Make:Nissan|Model:Qashqai|Match:Exact,REVIEW,1.5,6,2.45,39,1,0,0
1/1/16,Make:Nissan|Model:Qashqai|Type:Head_Terms,xNew-Make:Nissan|Model:Qashqai|Match:Exact,HEAD-TERMS,1.5,7,35.09,855,55,9,0
1/1/16,Make:Nissan|Model:Qashqai|Type:Core,xNew-Make:Nissan|Model:Qashqai|Match:Exact,CORE,2.8,7,100.91,3345,113,18,0
1/1/16,Make:Nissan|Model:Qashqai|Country:UK,xNew-Make:Nissan|Model:Qashqai|Match:Exact,UK,2.3,6,0.49,7,1,0,0
1/1/16,Make:Nissan|Model:Qashqai|Type:Offers,xNew-Make:Nissan|Model:Qashqai|Match:Exact,OFFERS,2,10,1.76,6,2,1,0
1/2/16,Make:Nissan|Model:Qashqai|Type:Cheap,xNew-Make:Nissan|Model:Qashqai|Match:BMM,CHEAP,2.5,9,2.06,24,2,0,0
1/2/16,Make:Nissan|Model:Qashqai|Type:Discount,xNew-Make:Nissan|Model:Qashqai|Match:BMM,DISCOUNT,1,10,1.91,5,1,0,0
1/2/16,Make:Nissan|Model:Qashqai|Type:Dealers,xNew-Make:Nissan|Model:Qashqai|Match:BMM,DEALER,2.3,8,3.72,20,2,0,0
1/2/16,Make:Nissan|Model:Qashqai|Type:Head_Terms,xNew-Make:Nissan|Model:Qashqai|Match:BMM,HEAD-TERMS,2.2,7,74.25,11418,87,6,0
1/2/16,Make:Nissan|Model:Qashqai|Type:PCP,xNew-Make:Nissan|Model:Qashqai|Match:BMM,PCP,2.6,8,3.15,36,2,1,0
1/2/16,Make:Nissan|Model:Qashqai|Type:Buy,xNew-Make:Nissan|Model:Qashqai|Match:BMM,BUY,2.1,10,3.16,46,2,1,0
1/2/16,Make:Nissan|Model:Qashqai|Type:Finance,xNew-Make:Nissan|Model:Qashqai|Match:BMM,FINANCE,4.1,8,0.24,32,1,0,0
1/2/16,Make:Nissan|Model:Qashqai|Type:Core,xNew-Make:Nissan|Model:Qashqai|Match:Exact,CORE,2.93245,7,98.13,5993,112,12,0
1/2/16,Make:Nissan|Model:Qashqai|Type:PCP,xNew-Make:Nissan|Model:Qashqai|Match:Exact,PCP,2.1,8,6.46,11,3,0,0
